Flight Time Rounded (s),Thrust (lb),Accel (ft/sec^2),Weight (lb)
7.03,0,-76.43057565,36.6586
7.04,0,-76.36151045,36.6586
7.05,0,-76.29252813,36.6586
7.06,0,-76.22357239,36.6586
7.07,0,-76.15467026,36.6586
7.08,0,-76.08585467,36.6586
7.09,0,-76.01711323,36.6586
7.1,0,-75.94840429,36.6586
7.11,0,-75.87975223,36.6586
7.12,0,-75.81116318,36.6586
7.13,0,-75.74264966,36.6586
7.14,0,-75.67419021,36.6586
7.15,0,-75.60578695,36.6586
7.16,0,-75.53743752,36.6586
7.17,0,-75.46915462,36.6586
7.18,0,-75.40095505,36.6586
7.19,0,-75.33280083,36.6586
7.2,0,-75.26470096,36.6586
7.21,0,-75.19668701,36.6586
7.22,0,-75.12870755,36.6586
7.23,0,-75.06081408,36.6586
7.24,0,-74.99296365,36.6586
7.25,0,-74.92521005,36.6586
7.26,0,-74.8574996,36.6586
7.27,0,-74.78984497,36.6586
7.28,0,-74.72226492,36.6586
7.29,0,-74.65609676,36.6586
7.3,0,-74.59100606,36.6586
7.31,0,-74.52599189,36.6586
7.32,0,-74.46102074,36.6586
7.33,0,-74.39611688,36.6586
